Date, Open, High, Low, Close, Volume
03/28/18, 948.00, 958.50, 945.00, 948.00, 436970
03/27/18, 951.00, 963.00, 945.00, 949.00, 293370
03/26/18, 928.00, 952.00, 917.00, 950.00, 559020
03/23/18, 927.00, 927.00, 908.00, 918.00, 618010
03/22/18, 918.00, 938.50, 918.00, 937.00, 666380
03/21/18, 945.00, 948.50, 916.00, 916.00, 423860
03/20/18, 948.00, 959.00, 935.00, 937.00, 1040930
03/19/18, 995.00, 1010.00, 995.00, 1010.00, 185980
03/16/18, 1006.00, 1020.00, 990.00, 990.00, 1094400
03/15/18, 1017.00, 1037.00, 1006.00, 1006.00, 361985
03/14/18, 1038.00, 1038.00, 1004.00, 1038.00, 451250
03/13/18, 1032.00, 1039.00, 1028.00, 1032.00, 140935
03/12/18, 1039.00, 1054.00, 1029.00, 1032.00, 156915
03/09/18, 1038.00, 1041.00, 1020.00, 1020.00, 167800
03/08/18, 1060.00, 1060.00, 1036.00, 1038.00, 143645
03/07/18, 1037.00, 1060.00, 1031.00, 1060.00, 111585
03/06/18, 1050.00, 1051.00, 1035.00, 1038.00, 162330
03/05/18, 1050.00, 1050.00, 1040.00, 1041.00, 93410
03/02/18, 1041.00, 1050.00, 1038.00, 1050.00, 168785
03/01/18, 1057.00, 1065.00, 1051.00, 1051.00, 219000
02/28/18, 1052.00, 1070.00, 1052.00, 1057.00, 304555
02/27/18, 1071.00, 1073.00, 1052.00, 1069.00, 416740
02/26/18, 1061.00, 1065.00, 1040.00, 1065.00, 147845
02/23/18, 1053.00, 1063.00, 1043.00, 1060.00, 419980
02/22/18, 1080.00, 1081.00, 1030.00, 1053.00, 401895
02/21/18, 1071.00, 1088.00, 1071.00, 1080.00, 337190
02/20/18, 1075.00, 1088.00, 1064.00, 1088.00, 221285
02/19/18, 1075.00, 1089.00, 1060.00, 1089.00, 317590
02/15/18, 1040.00, 1095.00, 1030.00, 1095.00, 341655
02/14/18, 1030.00, 1040.00, 1025.00, 1040.00, 184145
02/13/18, 1011.00, 1033.00, 1011.00, 1020.00, 283905
02/12/18, 1006.00, 1022.00, 1000.00, 1000.00, 110910
02/09/18, 1020.00, 1022.00, 1000.00, 1005.00, 302030
02/08/18, 1037.00, 1050.00, 1035.00, 1042.00, 321710
02/07/18, 1030.00, 1040.00, 1011.00, 1034.00, 208800
02/06/18, 1005.00, 1020.00, 991.50, 1005.00, 416135
02/05/18, 1034.00, 1034.00, 1020.00, 1030.00, 556715
02/02/18, 1038.00, 1055.00, 1038.00, 1050.00, 181770
02/01/18, 1040.00, 1058.00, 1035.00, 1038.00, 235595
01/31/18, 1045.00, 1061.00, 1035.00, 1050.00, 263715
01/30/18, 1076.00, 1076.00, 1046.00, 1050.00, 459610
01/29/18, 1042.00, 1083.00, 1042.00, 1083.00, 294385
01/26/18, 1035.00, 1058.00, 1034.00, 1040.00, 245005
01/25/18, 1035.00, 1040.00, 1030.00, 1034.00, 342525
01/24/18, 1045.00, 1049.00, 1031.00, 1035.00, 351680
01/23/18, 1049.00, 1052.00, 1031.00, 1045.00, 398515
01/22/18, 1032.00, 1055.00, 1032.00, 1050.00, 311655
01/19/18, 1027.00, 1040.00, 1010.00, 1031.00, 383875
01/18/18, 1055.00, 1055.00, 1028.00, 1035.00, 461015
01/17/18, 1072.00, 1075.00, 1055.00, 1060.00, 264685
01/16/18, 1085.00, 1091.00, 1052.00, 1052.00, 166235
01/15/18, 1065.00, 1094.00, 1060.00, 1085.00, 189470
01/12/18, 1050.00, 1065.00, 1035.00, 1065.00, 363710
01/11/18, 1060.00, 1060.00, 1030.00, 1050.00, 213605
01/10/18, 1065.00, 1065.00, 1052.00, 1060.00, 180545
01/09/18, 1057.00, 1075.00, 1052.00, 1065.00, 309775
01/08/18, 1065.00, 1066.00, 1048.00, 1057.00, 226530
01/05/18, 1040.00, 1069.00, 1040.00, 1065.00, 521745
01/04/18, 1040.00, 1048.00, 1028.00, 1040.00, 431010
01/03/18, 1015.00, 1041.00, 1015.00, 1040.00, 497855
12/29/17, 1027.00, 1027.00, 1012.00, 1015.00, 295630
12/28/17, 1029.00, 1030.00, 1015.00, 1022.00, 191515
12/27/17, 1010.00, 1029.00, 1005.00, 1029.00, 95400
12/22/17, 1010.00, 1010.00, 1000.00, 1010.00, 136580
12/21/17, 1018.00, 1018.00, 1005.00, 1009.00, 140540
12/20/17, 1016.00, 1023.00, 1010.00, 1018.00, 85480
12/19/17, 1006.00, 1016.00, 997.50, 1016.00, 229595
12/18/17, 1006.00, 1013.00, 1004.00, 1010.00, 204705
12/15/17, 1015.00, 1017.00, 999.00, 1006.00, 480780
12/14/17, 1011.00, 1020.00, 1006.00, 1015.00, 329085
12/13/17, 1019.00, 1028.00, 1013.00, 1020.00, 281360
12/12/17, 1023.00, 1030.00, 1016.00, 1025.00, 485435
12/11/17, 1015.00, 1043.00, 1012.00, 1040.00, 520900
12/08/17, 1001.00, 1035.00, 1001.00, 1030.00, 203765
12/07/17, 1010.00, 1015.00, 1000.00, 1000.00, 296565
12/06/17, 997.00, 1018.00, 991.00, 1010.00, 251960
12/05/17, 984.00, 999.00, 975.00, 999.00, 197080
12/04/17, 1000.00, 1000.00, 984.50, 984.50, 359200
12/01/17, 1015.00, 1024.00, 1000.00, 1006.00, 385930
11/29/17, 1016.00, 1020.00, 1010.00, 1020.00, 442215
11/28/17, 1022.00, 1025.00, 1015.00, 1017.00, 143730
11/27/17, 1018.00, 1032.00, 1016.00, 1030.00, 154790
11/24/17, 1020.00, 1024.00, 1015.00, 1020.00, 429705
11/23/17, 1016.00, 1028.00, 1015.00, 1020.00, 307270
11/22/17, 1012.00, 1025.00, 1012.00, 1019.00, 316500
11/21/17, 1016.00, 1022.00, 1008.00, 1019.00, 194095
11/20/17, 1014.00, 1022.00, 1006.00, 1012.00, 158900
11/17/17, 1016.00, 1025.00, 1010.00, 1013.00, 298055
