Date, Open, High, Low, Close, Volume
03/16/18, 286.80, 305.40, 286.80, 305.40, 2052470
03/15/18, 288.40, 288.60, 282.60, 284.00, 1140780
03/14/18, 293.00, 294.40, 287.40, 288.40, 757340
03/13/18, 296.00, 297.00, 292.40, 293.00, 557650
03/12/18, 296.00, 299.00, 292.20, 295.40, 303520
03/09/18, 297.00, 297.00, 292.00, 292.00, 352590
03/08/18, 303.00, 304.00, 295.00, 295.00, 367970
03/07/18, 300.00, 304.00, 299.80, 304.00, 853340
03/06/18, 300.00, 304.00, 297.80, 298.60, 833460
03/05/18, 299.00, 300.00, 296.00, 299.60, 388840
03/02/18, 297.60, 298.40, 295.00, 298.00, 735080
03/01/18, 297.60, 300.00, 295.80, 297.60, 663930
02/28/18, 295.00, 298.80, 289.00, 298.40, 1052820
02/27/18, 292.00, 297.20, 289.20, 295.00, 815230
02/26/18, 282.00, 292.80, 281.60, 292.00, 839100
02/23/18, 285.00, 289.40, 281.40, 282.00, 1269870
02/22/18, 283.40, 289.20, 280.00, 282.00, 602290
02/21/18, 285.60, 286.00, 282.00, 282.00, 442680
02/20/18, 289.60, 289.80, 283.80, 286.00, 397190
02/19/18, 283.80, 291.00, 283.80, 285.00, 492990
02/15/18, 281.80, 289.80, 280.00, 285.00, 516060
02/14/18, 281.60, 283.00, 275.00, 278.00, 1491080
02/13/18, 283.00, 284.00, 275.60, 277.00, 763250
02/12/18, 289.00, 291.80, 282.20, 283.00, 741090
02/09/18, 289.80, 292.00, 284.20, 292.00, 413260
02/08/18, 294.00, 294.00, 288.00, 292.80, 871390
02/07/18, 290.00, 294.60, 288.00, 293.20, 582230
02/06/18, 274.40, 289.00, 267.00, 289.00, 1021600
02/05/18, 290.00, 290.00, 282.00, 282.00, 742600
02/02/18, 287.20, 294.00, 285.00, 294.00, 943050
02/01/18, 284.80, 289.00, 284.60, 287.20, 512760
01/31/18, 284.20, 285.00, 282.00, 284.80, 910980
01/30/18, 285.40, 285.40, 281.00, 284.20, 1125860
01/29/18, 292.00, 295.00, 285.40, 285.40, 542160
01/26/18, 290.40, 293.00, 290.00, 292.20, 375570
01/25/18, 282.00, 293.00, 282.00, 293.00, 491640
01/24/18, 282.00, 288.80, 281.40, 282.00, 714160
01/23/18, 282.60, 283.00, 279.80, 282.20, 1179360
01/22/18, 280.00, 286.80, 279.60, 283.00, 1001520
01/19/18, 278.00, 280.00, 275.20, 280.00, 560060
01/18/18, 277.00, 279.00, 271.40, 279.00, 1484360
01/17/18, 277.40, 279.40, 276.60, 277.60, 1680700
01/16/18, 263.80, 278.00, 263.80, 277.60, 1795160
01/15/18, 257.00, 264.20, 255.00, 263.80, 1256670
01/12/18, 257.80, 258.00, 255.00, 255.00, 1311930
01/11/18, 255.40, 256.00, 253.80, 255.00, 681780
01/10/18, 256.20, 256.60, 255.00, 255.40, 447710
01/09/18, 256.00, 258.00, 255.00, 255.80, 978180
01/08/18, 257.40, 259.00, 253.40, 256.00, 840630
01/05/18, 255.60, 257.40, 255.00, 255.00, 946040
01/04/18, 255.40, 255.40, 253.00, 255.00, 617010
01/03/18, 253.40, 256.80, 253.00, 255.40, 745780
12/29/17, 255.00, 257.40, 253.00, 253.00, 567530
12/28/17, 248.80, 257.00, 248.80, 254.00, 871930
12/27/17, 247.00, 248.80, 246.00, 248.80, 319450
12/22/17, 247.80, 248.00, 244.80, 247.00, 512020
12/21/17, 245.00, 248.20, 244.40, 247.80, 330590
12/20/17, 246.40, 248.80, 243.80, 243.80, 736850
12/19/17, 249.20, 250.00, 244.20, 244.60, 945440
12/18/17, 246.00, 250.20, 246.00, 249.40, 292370
12/15/17, 245.20, 246.20, 244.20, 246.00, 1612560
12/14/17, 248.00, 248.00, 243.60, 244.00, 1358220
12/13/17, 250.00, 250.00, 247.00, 247.00, 545820
12/12/17, 249.40, 250.00, 248.40, 249.40, 1774780
12/11/17, 247.20, 249.00, 246.80, 249.00, 642820
12/08/17, 247.00, 249.00, 245.00, 248.80, 336300
12/07/17, 243.00, 248.00, 243.00, 246.80, 319960
12/06/17, 243.20, 247.60, 242.00, 243.00, 433440
12/05/17, 241.40, 244.60, 241.40, 243.80, 447580
12/04/17, 245.40, 245.40, 240.20, 241.40, 583130
12/01/17, 244.00, 246.60, 243.60, 245.40, 1037900
11/29/17, 252.40, 252.60, 243.60, 243.60, 4477880
11/28/17, 254.00, 254.00, 250.00, 252.00, 713760
11/27/17, 258.20, 258.20, 253.60, 254.00, 551030
11/24/17, 253.20, 258.40, 252.80, 258.40, 568850
11/23/17, 254.60, 255.00, 253.00, 254.00, 295570
11/22/17, 254.00, 259.00, 253.40, 255.00, 680180
11/21/17, 256.20, 256.20, 251.00, 254.00, 1040390
11/20/17, 260.00, 260.00, 257.00, 257.00, 798610
11/17/17, 260.00, 260.00, 257.40, 259.80, 733970
11/16/17, 256.00, 260.00, 255.80, 258.80, 1604010
11/15/17, 258.80, 258.80, 255.80, 255.80, 621060
11/14/17, 257.00, 259.60, 255.80, 259.60, 655920
11/13/17, 253.00, 258.60, 253.00, 257.00, 968510
11/10/17, 254.00, 254.00, 249.60, 251.20, 485010
11/09/17, 252.00, 253.00, 251.60, 253.00, 1231040
11/08/17, 253.20, 253.20, 251.40, 252.00, 1033750
11/07/17, 251.60, 254.00, 250.60, 253.40, 790140
11/06/17, 248.20, 251.00, 248.20, 251.00, 171700
11/03/17, 251.40, 254.40, 248.20, 248.20, 792110
11/02/17, 248.40, 251.40, 248.20, 251.40, 740850
10/30/17, 250.00, 251.20, 248.40, 249.00, 301950
10/27/17, 250.00, 250.00, 248.60, 249.80, 459090
10/26/17, 250.20, 252.00, 248.60, 250.00, 736740
10/25/17, 248.60, 250.80, 248.20, 250.00, 835040
10/24/17, 249.00, 252.40, 246.60, 248.00, 824150
10/23/17, 246.00, 251.00, 245.60, 249.00, 965550
10/20/17, 247.00, 248.00, 245.00, 246.00, 273440
10/19/17, 245.40, 250.00, 244.60, 247.00, 1090420
10/18/17, 245.20, 246.00, 242.00, 246.00, 581580
10/17/17, 246.00, 249.20, 244.60, 245.00, 1217940
10/13/17, 244.80, 248.20, 244.80, 247.00, 859040
10/12/17, 244.60, 247.00, 243.60, 244.60, 565970
10/11/17, 245.00, 246.60, 243.20, 244.00, 313220
10/10/17, 244.00, 245.00, 242.00, 245.00, 123900
10/09/17, 242.20, 245.80, 242.00, 245.80, 206590
10/06/17, 241.80, 243.60, 241.80, 242.20, 751550
10/05/17, 242.80, 242.80, 241.60, 241.80, 968270
10/04/17, 242.60, 242.80, 241.60, 242.40, 532970
10/03/17, 242.60, 243.60, 241.00, 242.00, 777440
10/02/17, 244.00, 244.80, 241.60, 242.60, 830970
09/29/17, 243.00, 245.00, 242.00, 243.80, 732140
09/28/17, 248.00, 248.00, 242.00, 242.00, 911910
09/27/17, 249.00, 249.00, 242.20, 248.80, 887090
09/26/17, 245.00, 249.80, 240.00, 249.80, 422500
09/25/17, 244.80, 245.00, 242.00, 245.00, 198410
09/22/17, 246.00, 246.00, 243.20, 244.80, 335990
09/21/17, 242.60, 248.00, 242.00, 246.00, 390120
09/20/17, 244.00, 244.80, 241.40, 242.00, 1375890
09/19/17, 246.40, 251.40, 244.40, 245.00, 731140
09/18/17, 243.00, 245.00, 242.40, 245.00, 554560
09/15/17, 245.00, 245.00, 242.60, 243.00, 1245630
09/14/17, 242.00, 249.60, 241.60, 245.00, 637260
09/13/17, 240.00, 244.20, 240.00, 242.00, 770740
09/11/17, 244.00, 244.40, 242.20, 244.00, 615460
09/08/17, 245.80, 251.40, 244.00, 244.00, 522760
09/07/17, 243.00, 245.60, 240.80, 245.60, 721550
09/06/17, 243.00, 243.00, 240.00, 241.00, 601000
09/05/17, 238.00, 244.00, 238.00, 244.00, 1044220
09/04/17, 238.20, 238.40, 236.00, 238.00, 673130
08/31/17, 238.00, 238.80, 236.20, 238.20, 502640
08/30/17, 238.60, 239.20, 237.80, 238.80, 654510
08/29/17, 240.00, 240.40, 237.80, 238.80, 1024340
08/25/17, 239.80, 241.00, 238.40, 239.00, 644400
08/24/17, 239.40, 240.40, 238.00, 240.00, 291780
08/23/17, 240.00, 242.00, 238.00, 239.20, 717480
08/22/17, 235.20, 240.00, 235.00, 240.00, 1397980
08/18/17, 237.20, 237.20, 234.00, 235.20, 678970
08/17/17, 238.00, 239.80, 236.00, 238.20, 1061280
08/16/17, 225.40, 245.00, 225.00, 239.00, 2324150
08/15/17, 222.00, 226.00, 221.80, 225.00, 678190
08/14/17, 216.00, 222.40, 215.00, 222.00, 1729060
08/11/17, 217.00, 217.20, 213.00, 216.40, 1203420
